addr,house_sale_price,latitude,longitude
10324 S SAWYER AVE,301000.0,41.70536465,-87.7027822191929
6610 N DAMEN AVE,215000.0,42.001870600000004,-87.68050539154132
1955 N FREMONT ST,1435000.0,41.91755525000001,-87.65063282817047
5122 W GRACE ST,218500.0,41.949843,-87.75561832827395
7636 S EMERALD AVE,55000.0,41.7550017,-87.64322014899105
5535 S WABASH AVE,525000.0,41.793297949999996,-87.62367754296116
3604 W 26TH ST,145000.0,41.84460995,-87.71515009970238
5739 W GUNNISON ST,412500.0,41.968412,-87.77171405530025
3134 N OCTAVIA AVE,230000.0,41.9373248,-87.8094514265857
4156 W WASHINGTON BLVD,280000.0,41.88227555,-87.73041650406381
2624 W COYLE AVE,463000.0,42.0078677,-87.6960012848195
7850 S HAMILTON AVE,119000.0,41.750993199999996,-87.67709762983102
11311 S TALMAN AVE,184000.0,41.68771175,-87.68688207381129
631 W 80TH ST,20000.0,41.748674699999995,-87.6404733953913
2112 HIGHLAND AVE,325000.0,41.891008,-88.201839
5209 S ARTESIAN AVE,165000.0,41.7989953,-87.6851369125
1313 S KARLOV AVE,125000.0,41.8638435,-87.72726151348263
3833 OAK PARK AVE,247000.0,41.7005231,-87.7889631
2617 N FRANCISCO AVE,630000.0,41.9292593,-87.699715765235
2725 N KEDZIE AVE,850000.0,41.93099585,-87.70711682406977
3124 N SOUTHPORT AVE,590000.0,41.93873245,-87.66404566158819
2307 N NAGLE AVE,225000.0,41.9221534,-87.78636092433035
4934 S LA CROSSE AVE,196700.0,41.8029138,-87.74451099335067
1118 W 111TH PL,26000.0,41.69161715,-87.65049490356694
4630 S GREENWOOD AVE,600000.0,41.8104952,-87.59955578132602
9815 S GENOA AVE,97774.0,41.71528725,-87.65123518966101
1546 S DRAKE AVE,215000.0,41.859445050000005,-87.71426560836798
3622 N HAMILTON AVE,700000.0,41.947541,-87.68247422149622
376 WOODLAWN AVE,830000.0,41.5032168,-87.5872603
10549 S AVENUE E,155160.0,41.7031025,-87.52893710000001
307 GENEVA AVE,26000.0,41.912856431642204,-87.88899036079106
1700 W 91ST PL,215000.0,41.72768935,-87.6655085733707
5636 W GRACE ST,432500.0,41.9497043,-87.76843317071418
2328 N KEYSTONE AVE,167000.0,41.92357635,-87.72825116995449
3042 W WILSON AVE,460000.0,41.96490985,-87.70519221681056
1218 RIDGELAND AVE,245000.0,41.718359,-87.77991
1938 CAMBRIDGE ST,7700.0,41.4966153860523,-87.65706822306352
3117 CARPENTER ST,93500.0,41.5191589,-87.6417189
1327 S PLYMOUTH CT,778000.0,41.86500925,-87.62812731457521
1611 THORNTON LANSING RD,205000.0,41.5705195,-87.5835897
15220 BAYBERRY CT,340000.0,41.8991162,-88.2121754
2836 N MILWAUKEE AVE,261000.0,41.932671549999995,-87.71369640370679
1731 N 73RD CT,150000.0,41.9292673,-87.8101006
13053 S MARQUETTE AVE,240000.0,41.65750805,-87.55654437455006
5221 GREENWOOD ST,210000.0,41.6142016,-87.5892114
1825 N PARK DR,295000.0,41.8904815,-87.6196044
1313 ARTHUR ST,98000.0,41.998544,-87.8262735
14449 S HOXIE AVE,51000.0,41.7203281,-87.5611505
250 HOLBROOK RD,110000.0,41.538678,-87.652587
1694 N 1ST AVE,354000.0,41.90813614098184,-87.83508091336309
3524 W SHAKESPEARE AVE,290000.0,41.92025035,-87.71471267941374
7917 S COLES AVE,4182.50950570342,41.751358350000004,-87.54897612579666
6913 N ALGONQUIN AVE,287000.0,42.00684585,-87.76253339711906
3530 N OSCEOLA AVE,355000.0,41.94429505,-87.81334860000001
1838 N HUDSON AVE,3375000.0,41.9158422,-87.64023077564838
201 W ORCHARD ST,385000.0,42.068375,-87.985669
3316 S LITUANICA AVE,305000.0,41.83428485,-87.64885029295368
6938 29TH PL,181900.0,41.485204,-87.6423014
1400 S 6TH AVE,142500.0,42.301728,-87.8482748
26 S THROOP ST,640000.0,41.8808851,-87.65979267898493
1847 N TRIPP AVE,265900.0,41.9149683,-87.7323184420688
3647 S WINCHESTER AVE,140000.0,41.82723015,-87.6737302
9557 S GREEN ST,48000.0,41.719736999999995,-87.64407967679765
7111 W 73RD PL,240000.0,41.7604375,-87.6588479
3247 N RUTHERFORD AVE,465000.0,41.939565,-87.79422657435899
6111 JAMES ST,130000.0,41.5341608,-87.7944269
2428 W SUPERIOR ST,566000.0,41.894974899999994,-87.68803117554206
4017 N MAPLEWOOD AVE,1174000.0,41.954632700000005,-87.69186155
7642 W 92ND PL,255000.0,41.7257002,-87.6656179
1234 N PARKSIDE AVE,48000.0,41.90316345,-87.76716225075933
2640 GROVE AVE,265000.0,42.3197848,-87.8513219
2640 GROVE AVE,110000.0,42.3197848,-87.8513219
8306 N OSCEOLA AVE,375000.0,41.9502687,-87.8133493
8306 N OSCEOLA AVE,370000.0,41.9502687,-87.8133493
702 WILDWOOD LN,208000.0,41.901737,-88.192493
4509 N DRAKE AVE,510000.0,41.96316115207191,-87.71676227173573
358 N AVERS AVE,276000.0,41.8870409,-87.72279585057123
3101 N BERNARD ST,605000.0,41.93756515,-87.71340073372394
7818 S KEELER AVE,130000.0,41.75139075,-87.72659420946962
4405 S KEDVALE AVE,233900.0,41.813092999999995,-87.72717938586658
10721 S MORGAN ST,41800.0,41.69889295,-87.64713561357695
8805 S OAKWOOD DR,240000.0,42.046826,-87.9636317
3006 175TH ST,115000.0,41.5716421,-87.7436799
5531 S NATOMA AVE,215000.0,41.791262700000004,-87.78759792572886
1416 E 55TH ST,340000.0,41.7956525,-87.59099344423646
8029 S CHAMPLAIN AVE,163500.0,41.74853495,-87.60849119278933
650 N ASHLAND AVE,332819.722650231,41.89392945,-87.66758062067588
650 N ASHLAND AVE,167180.277349769,41.89392945,-87.66758062067588
5244 W BELLE PLAINE AVE,279900.0,41.955316249999996,-87.75905103777004
5135 S RIDGEWAY AVE,143000.0,41.79956145,-87.71693052920168
11301 S WHIPPLE ST,195000.0,41.687866,-87.696473
1215 CENTRAL RD,2935000.0,42.0665919,-88.0055625
4642 W 115TH PL,130000.0,41.6832845,-87.7053918
915 ELM ST,930000.0,45.8288360899267,-91.89846770821809
3828 N OSCEOLA AVE,195000.0,41.949669,-87.81371206583788
17137 CHICAGO AVE,129000.0,41.8943776,-87.7961647
17137 CHICAGO AVE,100000.0,41.8943776,-87.7961647
672 W CEDAR LN,297000.0,42.0594621,-87.9957813
6276 N CICERO AVE,166500.0,41.9951799,-87.74872352382333
201 S LOUIS ST,224000.0,42.062603,-87.927028
6326 N KEYSTONE AVE,175000.0,41.9961995,-87.73040144999999
3026 W 55TH ST,158500.0,41.7937702,-87.69976
7719 S MELVINA AVE,140000.0,41.7943327,-87.7769915
1922 N LOWELL AVE,220000.0,41.91594215,-87.73532393554271
