addr,condo_sale_price,latitude,longitude
1437 W GREENLEAF AVE,205000.0,42.010246185796525,-87.66692391840597
100 E HURON ST,1200000.0,41.895008,-87.625297
35 WEST AVE,127000.0,41.8755616,-87.6244212
9500 WASHINGTON AVE,150000.0,41.9755398,-87.8267783
1212 N LAKE SHORE DR,925000.0,41.90455715,-87.625475346348
3440 N LAKE SHORE DR,265000.0,41.9443747,-87.64166747418548
350 NEWGATE CT,165000.0,42.02713253765598,-88.07300700563782
49 STANTON CT,152500.0,42.026770052701366,-88.07138492026998
1722 W BERWYN AVE,395000.0,41.978171950000004,-87.67306132239582
5701 N SHERIDAN RD,133000.0,41.9860264,-87.65442058507912
6030 N SHERIDAN RD,100000.0,41.99164195,-87.65585274465907
1555 N SANDBURG TER,350000.0,41.9098427,-87.63199752942239
2327 W HARRISON ST,151000.0,41.8736947,-87.68492075108573
14621 GREENWOOD RD,20000.0,41.6142016,-87.5892114
2325 N NEVA AVE,160000.0,41.92191185,-87.80361565000001
6800 N CALIFORNIA AVE,149000.0,42.00552395,-87.70025223990874
1526 W FARGO AVE,177000.0,42.01719050310995,-87.6688342487862
2912 W WARREN BLVD,150000.0,41.8821415,-87.69941460790044
917 E 78TH ST,24900.0,41.75293725,-87.60183472764069
545 N DEARBORN ST,328000.0,41.8920935,-87.6292964
680 N GREEN ST,381000.0,41.89450925,-87.64941196629073
1298 OLD MILL RD,171500.0,41.5202357,-87.8136169
nan,315041.0,41.8755616,-87.6244212
nan,315041.0,41.8755616,-87.6244212
7225 ADAMS ST,76660.0,41.4968136,-87.6692537
919 W ALTGELD ST,485000.0,41.9270165,-87.65199995392135
922 W DAKIN ST,425000.0,41.9538067,-87.653126012113
934 N WOOD ST,540000.0,41.8988511,-87.6725427504453
9535 S KEDZIE AVE,45000.0,41.7579175,-87.7026238
2734 N SEMINARY AVE,409000.0,41.93166935,-87.6560855535727
3021 W CULLOM AVE,159000.0,41.959482136853836,-87.7037341357395
1640 N BURLING ST,837000.0,41.91214225,-87.6474138163585
5455 N SHERIDAN RD,116000.0,41.98153115,-87.6544145904852
1518 N HUDSON AVE,494000.0,41.90983315,-87.64008319295944
8560 W FOSTER AVE,205000.0,41.97416015,-87.8405956262863
7141 N KEDZIE AVE,114000.0,42.01091195,-87.70805963018049
3425 W SHAKESPEARE AVE,213000.0,41.91979425,-87.7132391701474
1629 S PRAIRIE AVE,336000.0,41.85948775,-87.62044309934709
3637 N SPAULDING AVE,270000.0,41.947654400000005,-87.70990503190075
6143 N SEELEY AVE,85500.0,41.992399714578504,-87.68099770301522
4249 N KEYSTONE AVE,130000.0,41.95869495,-87.72901123095156
7550 S ESSEX AVE,24000.0,41.757466949999994,-87.56443543925867
636 W WAVELAND AVE,227000.0,41.95025911501329,-87.64541569755836
155 N HARBOR DR,427000.0,41.884885249999996,-87.61478426163526
1350 W ELMDALE AVE,330000.0,41.99105985,-87.66474835294275
8801 GOLF RD,160000.0,42.0505078,-88.0383373
415 FRANKLIN AVE,254500.0,41.5101135,-87.6537975
1349 N WESTERN AVE,265000.0,41.90632,-87.68673035
2919 N HARLEM AVE,141000.0,41.9330592,-87.80620437621079
4250 N MARINE DR,170000.0,41.9604386,-87.6469076
900 E WILMETTE RD,125500.0,42.10472,-88.022767
2838 N BURLING ST,550000.0,41.933918950000006,-87.64805006993033
1931 W BELMONT AVE,449000.0,41.939405550000004,-87.67723341896283
1625 N BURLING ST,25000.0,41.91179608681433,-87.64697878244196
2018 N BURLING ST,336100.0,41.918944749999994,-87.64784762133021
50 N PLUM GROVE RD,400000.0,42.111695130439024,-88.04387147363383
2041 W POTOMAC AVE,430000.0,41.90475665,-87.67892269632596
6454 N CLAREMONT AVE,130000.0,41.99857670270271,-87.6887972972973
910 WASHINGTON ST,258000.0,41.7001138,-87.7735296
1130 W CORNELIA AVE,381000.0,41.94557625,-87.6581176283498
