address,latitude,longitude
11659 S BISHOP ST,41.6813683,-87.6575582986039
850 WELLINGTON AVE,41.9334439,-87.8910709
13040 S EXCHANGE AVE,41.657957100000004,-87.5522673683303
2736 W MELROSE ST,41.94043085,-87.69669987788377
400 S GREEN ST,41.8765215,-87.6485639
3660 N LAKE SHORE DR,41.9496248,-87.6463764
5149 S HONORE ST,41.79986595,-87.67057949359824
228 W SAINT PAUL AVE,41.91377465,-87.63600194626898
4847 W AUGUSTA BLVD,41.898484100000005,-87.74777686804487
30 W OAK ST,41.900772,-87.62950045199999
5719 S ROCKWELL ST,41.78951095,-87.68852021482144
1 E SCOTT ST,41.90462205,-87.62829380116939
758 W 14TH PL,41.862432031385524,-87.64650928298435
633 E 102ND PL,41.7081342,-87.6075601712502
633 E 102ND PL,41.7081342,-87.6075601712502
2529 N MOZART ST,41.92749325,-87.69845810464481
3128 N PARKSIDE AVE,41.937605000000005,-87.76796858638434
2056 N NEWLAND AVE,41.917924049999996,-87.79949497047704
900 E WILMETTE RD,42.10472,-88.022767
6458 S GREENWOOD AVE,41.77698495,-87.599583891745
5223 W WINONA ST,41.9741083,-87.75868401172119
2543 W 71ST ST,41.764463449999994,-87.68746771570035
3822 N CLAREMONT AVE,41.9510861,-87.68745818030236
4505 N NEW ENGLAND AVE,41.96309357270864,-87.80000793289412
6332 S MORGAN ST,41.77867275,-87.64989426718472
3631 N HOYNE AVE,41.94780835,-87.68075407382686
6310 N OKETO AVE,41.9957972,-87.81188572353108
6233 N SAINT LOUIS AVE,41.99478925,-87.71622779832234
1930 HARRISON ST,41.88142,-88.213633
1930 HARRISON ST,41.88142,-88.213633
749 ELM ST,45.82903203155326,-91.89595340414782
